Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
ssid,WiFi Service Set ID,string,33,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
security,Security,string,40,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
encryption,The encryption type of detected rogue AP,string,12,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
stamac,The MAC address of wifi station,string,17,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
sn,Serial Number,string,64,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
ap,Access Point,string,36,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
reason,Reason,string,256,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
vap,Virtual Access Point,string,36,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
remotewtptime,The time of AP when client trying to connect,string,32,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
server,AD server FQDN or IP,string,64,43670 - LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,43670,LOG_ID_EVENT_WIRELESS_STA_DHCP_SELF_ASSIGNED,Wireless station is using self-assigned IP,Event,wireless,Warning,7.2.3
