Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
ssid,WiFi Service Set ID,string,33,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
msg,Log Message,string,4096,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
action,Policy Action,string,65,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
logdesc,Log Description,string,4096,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
tz,Time zone,string,5,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
eventtime,Event time,uint64,20,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
vd,Virtual Domain Name,string,32,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
devid,Device ID,string,16,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
level,Log Level,string,11,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
subtype,Log Subtype,string,20,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
type,Log Type,string,16,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
logid,Log ID,string,10,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
time,Time,string,8,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
date,Date,string,10,43693 - LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,43693,LOG_ID_EVENT_WIRELESS_STA_WNM_ACTION_BSTM_REQ,AP sent WNM action BSTM request,Event,wireless,Warning,7.6.3
