Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sessionid,Session ID,uint32,10,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
service,Proxy service which scanned this traffic,string,5,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
proto,Protocol number,uint8,3,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
profile,The name of the profile that was used to detect and take action,string,64,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
poluuid,,string,37,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
policyid,Policy ID,uint32,10,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
msg,Log message,string,4096,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
logid,Log ID,string,10,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
level,Log level,string,11,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
group,Group name (authentication),string,512,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
eventtype,Event type of AV,string,32,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
eventtime,Time when detection occured,uint64,20,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
dstport,Destination Port,uint16,5,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
dstip,Destination IP Address,ip,39,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
dstintf,Destination Interface,string,32,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
devid,,string,16,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
date,Date,string,10,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
action,"The status of the session:
 blocked - Blocked infected file by AV engine
 passthrough - Allowed by AV engine
 monitored - Log, but do NOT block infected file
 analytics - Submitted to Sandbox for analysis",string,18,9241 - LOG_ID_UNKNOWN_CE_BLOCK,9241,LOG_ID_UNKNOWN_CE_BLOCK,Unknown content-encoding detected and blocked,Virus,unknown,Warning,7.4.7
