Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
highcount,Security Rating result failed count for high severity,int32,10,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
criticalcount,Critical level threat count,int32,10,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
auditreporttype,Security Rating report type,string,20,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
audittime,Security Rating time,uint64,20,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
logdesc,Log Description,string,4096,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
tz,Time zone,string,5,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
eventtime,Event time,uint64,20,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
vd,Virtual Domain Name,string,32,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
devid,Device ID,string,16,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
level,Log Level,string,11,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
subtype,Log Subtype,string,20,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
type,Log Type,string,16,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
logid,Log ID,string,10,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
time,Time,string,8,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
date,Date,string,10,52001 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,52001,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_CHANGE,Security Rating result change,Event,security-rating,Notice,7.6.5
